q_num,model,question,curie,prefix,status,claimed_label,real_label,answer_excerpt
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0006396,GO,SUPPORTED_LABEL_OK,RNA processing,RNA processing,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0008380,GO,SUPPORTED_LABEL_OK,RNA splicing,RNA splicing,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0000398,GO,SUPPORTED_LABEL_OK,"Nuclear mRNA splicing, via spliceosome","mRNA splicing, via spliceosome","The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:2001142,GO,SUPPORTED_LABEL_MISMATCH,Regulation of RNA splicing,nicotinate transport,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:2000376,GO,SUPPORTED_OBSOLETE,Regulation of alternative mRNA splicing-via spliceosome,obsolete positive regulation of oxygen metabolic process,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0006355,GO,SUPPORTED_LABEL_OK,"Regulation of transcription, DNA-templated",regulation of DNA-templated transcription,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0010467,GO,SUPPORTED_LABEL_OK,Regulation of gene expression,gene expression,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",GO:0007049,GO,SUPPORTED_LABEL_OK,Cell cycle,cell cycle,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
1,llama-3.1-8b-instant,"List 8 Gene Ontology biological process terms, each with its GO ID, for the gene FUS.",Q7Z434,UNIPROT,SUPPORTED_ENTITY_MISMATCH,,Mitochondrial antiviral-signaling protein,"The FUS gene is associated with several biological processes. Here are 8 Gene Ontology (GO) terms for FUS:  1. RNA processing (GO:0006396) 2. RNA splicing (GO:0008380) 3. Nuclear mRNA splicing, via spliceosome (GO:0000398) 4. Regulation of RNA splicing (GO:2001142) 5. Regulation of alternative mRNA "
2,llama-3.1-8b-instant,Provide 6 Gene Ontology molecular function terms with their GO IDs for SOD1.,GO:0003824,GO,SUPPORTED_LABEL_OK,Catalytic activity,catalytic activity,"The Superoxide Dismutase 1 (SOD1) gene has the following Gene Ontology (GO) molecular function terms:  1. Catalytic activity (GO:0003824) 2. Oxidoreductase activity (GO:0016742) 3. Superoxide dismutase activity (GO:1901663) 4. Copper ion binding (GO:0005506) 5. Superoxide dismutase activity, dismuta"
